step,train_loss,val_loss
100,2.5305,2.5313
200,2.3777,2.4015
300,2.2418,2.2740
400,2.1035,2.1682
500,1.9822,2.0548
600,1.8741,1.9700
700,1.7912,1.9329
800,1.7126,1.8486
900,1.6714,1.8103
1000,1.6146,1.7825
1100,1.5827,1.7445
1200,1.5358,1.7291
1300,1.5071,1.6994
1400,1.4869,1.6876
1500,1.4600,1.6612
1600,1.4451,1.6579
1700,1.4301,1.6453
1800,1.4030,1.6242
1900,1.3879,1.6208
2000,1.3779,1.5988
2100,1.3641,1.5945
2200,1.3514,1.5929
2300,1.3465,1.5755
2400,1.3258,1.5832
2500,1.3188,1.5708
2600,1.3085,1.5622
2700,1.2995,1.5546
2800,1.2914,1.5493
2900,1.2839,1.5617
3000,1.2733,1.5499
